GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tax,pt.ist.fenixframework,DomainRoot_Base.DomainRootHasIRSApplication,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework,DomainBPlusTreeData_Base.DomainBPlusTreeJVSTMData,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework,DomainMetaObject_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework,DomainMetaObject_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
tax,pt.ist.fenixframework,DomainMetaObject_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework,DomainMetaObject_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
tax,pt.ist.fenixframework,DomainMetaObject_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ist.fenixframework,DomainMetaObject_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ist.fenixframework,DomainBPlusTreeJVSTM_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.consistencyPredicates,PrivateConsistencyPredicate_Base,38,0,0,0,16,0,8,0,8,0
tax,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base,276,24,20,0,66,6,46,1,36,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.DependedDomainMetaObjectsDependingDependenceRecords,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.DO_State,22,0,0,0,7,0,2,0,2,0
tax,pt.ist.fenixframework.consistencyPredicates,PrivateConsistencyPredicate_Base.DO_State,10,0,0,0,4,0,2,0,2,0
tax,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.DependentDomainMetaObjectOwnDependenceRecords,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.consistencyPredicates,FinalConsistencyPredicate_Base,38,0,0,0,16,0,8,0,8,0
tax,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base.PublicConsistencyPredicateOverriddenPublicConsistencyPredicatesOverriding,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.DomainConsistencyPredicateInconsistentDependenceRecords,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.DO_State,22,0,0,0,7,0,2,0,2,0
tax,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base,211,35,16,0,52,9,36,1,28,1
tax,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base,136,16,8,0,37,5,23,1,19,1
tax,pt.ist.fenixframework.consistencyPredicates,FinalConsistencyPredicate_Base.DO_State,10,0,0,0,4,0,2,0,2,0
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.DomainConsistencyPredicateDomainDependenceRecords,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
