GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
activity,pt.ist.fenixframework,DomainMetaObject_Base.DomainMetaObjectAbstractDomainObject,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework,DomainMetaObject_Base.DO_State,18,0,0,0,6,0,2,0,2,0
activity,pt.ist.fenixframework,DomainMetaClass_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework,DomainBPlusTreeData_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaClassDeclaredConsistencyPredicates,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework,DomainRoot_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
activity,pt.ist.fenixframework,DomainRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework,DomainRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework,DomainRoot_Base.DomainRootHasActivityProviders,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework,DomainRoot_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ist.fenixframework,DomainMetaObject_Base,232,31,16,0,58,9,40,1,32,1
activity,pt.ist.fenixframework,DomainMetaClass_Base,349,43,28,0,80,12,56,2,42,2
activity,pt.ist.fenixframework,DomainRoot_Base,108,85,12,0,28,23,20,11,14,11
activity,pt.ist.fenixframework,DomainMetaObject_Base.DomainMetaObjectsDomainMetaClass,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework,DomainBPlusTreeData_Base.DO_State,18,0,0,0,6,0,2,0,2,0
activity,pt.ist.fenixframework,DomainRoot_Base.DO_State,15,3,0,0,5,1,1,1,1,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.DomainFenixFrameworkRootDomainMetaClasses,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaSuperclassDomainMetaSubclasses,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.DO_State,30,0,0,0,9,0,2,0,2,0
activity,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
activity,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework,DomainBPlusTreeJVSTM_Base,79,5,4,0,24,1,14,1,12,1
activity,pt.ist.fenixframework,DomainBPlusTreeJVSTM_Base.DO_State,14,0,0,0,5,0,2,0,2,0
activity,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base,110,35,8,0,29,10,19,6,15,6
activity,pt.ist.fenixframework,DomainBPlusTreeData_Base,108,8,4,0,30,3,18,1,16,1
activity,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaClassExistingDomainMetaObjects,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework,DomainBPlusTreeData_Base.DomainBPlusTreeJVSTMData,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework,DomainMetaObject_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework,DomainMetaObject_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
activity,pt.ist.fenixframework,DomainMetaObject_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework,DomainMetaObject_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
activity,pt.ist.fenixframework,DomainMetaObject_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ist.fenixframework,DomainMetaObject_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ist.fenixframework,DomainBPlusTreeJVSTM_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.consistencyPredicates,PrivateConsistencyPredicate_Base,38,0,0,0,16,0,8,0,8,0
activity,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base,276,24,20,0,66,6,46,1,36,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.DependedDomainMetaObjectsDependingDependenceRecords,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.DO_State,22,0,0,0,7,0,2,0,2,0
activity,pt.ist.fenixframework.consistencyPredicates,PrivateConsistencyPredicate_Base.DO_State,10,0,0,0,4,0,2,0,2,0
activity,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.DependentDomainMetaObjectOwnDependenceRecords,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework.consistencyPredicates,FinalConsistencyPredicate_Base,38,0,0,0,16,0,8,0,8,0
activity,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base.DO_State,14,0,0,0,5,0,2,0,2,0
activity,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base.PublicConsistencyPredicateOverriddenPublicConsistencyPredicatesOverriding,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.DomainConsistencyPredicateInconsistentDependenceRecords,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.DO_State,22,0,0,0,7,0,2,0,2,0
activity,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainConsistencyPredicate_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base,211,35,16,0,52,9,36,1,28,1
activity,pt.ist.fenixframework.consistencyPredicates,PublicConsistencyPredicate_Base,136,16,8,0,37,5,23,1,19,1
activity,pt.ist.fenixframework.consistencyPredicates,FinalConsistencyPredicate_Base.DO_State,10,0,0,0,4,0,2,0,2,0
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.DomainConsistencyPredicateDomainDependenceRecords,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new RelationAdapter() {...},14,3,0,0,4,1,2,1,2,1
activity,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
activity,pt.ist.fenixframework.data,InstallationData_Base.DomainRootHasInstallationData,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework.data,InstallationData_Base,53,73,5,3,15,18,13,8,9,8
activity,pt.ist.fenixframework.data,InstallationData_Base.DO_State,0,18,0,0,0,6,0,2,0,2
activity,pt.ist.fenixframework.data,InstallationData_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ulisboa.tecnico.softeng.activity.presentation,ActivityController,119,0,2,0,22,0,5,0,4,0
activity,pt.ulisboa.tecnico.softeng.activity.presentation,BookingController,121,0,2,0,21,0,5,0,4,0
activity,pt.ulisboa.tecnico.softeng.activity.presentation,ActivityProviderController,78,0,0,0,19,0,5,0,5,0
activity,pt.ulisboa.tecnico.softeng.activity.presentation,ActivityOfferController,125,0,2,0,22,0,5,0,4,0
activity,pt.ist.fenixframework.backend,CurrentBackEndId,6,12,0,0,2,5,0,5,0,5
